Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
112,-8.724,112_prepared-1_out.pdbqt,1,,,
113,-8.971,113_prepared-1_out.pdbqt,1,,,
114,-7.237,114_prepared-1_out.pdbqt,2,,,
115,-8.892,115_prepared-1_out.pdbqt,1,,,
116,-9.210,116_prepared-1_out.pdbqt,1,,,
117,-8.372,117_prepared-1_out.pdbqt,1,,,
118,-8.614,118_prepared-5_out.pdbqt,6,,,
119,-7.622,119_prepared-2_out.pdbqt,4,,,
120,-7.307,120_prepared-1_out.pdbqt,1,,,
121,-7.623,121_prepared-1_out.pdbqt,1,,,
122,-8.889,122_prepared-1_out.pdbqt,1,,,
123,-7.538,123_prepared-1_out.pdbqt,1,,,
124,-8.239,124_prepared-1_out.pdbqt,1,,,
125,-9.138,125_prepared-1_out.pdbqt,1,,,
126,-8.038,126_prepared-1_out.pdbqt,1,,,
127,-8.971,127_prepared-1_out.pdbqt,1,,,
128,-9.531,128_prepared-1_out.pdbqt,1,,,
129,-7.972,129_prepared-1_out.pdbqt,1,,,
130,-7.165,130_prepared-1_out.pdbqt,1,,,
131,-7.608,131_prepared-1_out.pdbqt,1,,,
132,-8.680,132_prepared-1_out.pdbqt,1,,,
133,-9.422,133_prepared-1_out.pdbqt,1,,,
134,-9.640,134_prepared-2_out.pdbqt,2,,,
135,-9.335,135_prepared-1_out.pdbqt,1,,,
136,-8.063,136_prepared-1_out.pdbqt,1,,,
137,-10.644,137_prepared-1_out.pdbqt,1,,,
138,-8.445,138_prepared-1_out.pdbqt,1,,,
139,-5.709,139_prepared-1_out.pdbqt,1,,,
140,-9.659,140_prepared-1_out.pdbqt,1,,,
141,-9.559,141_prepared-1_out.pdbqt,1,,,
142,-7.956,142_prepared-1_out.pdbqt,1,,,
143,-9.115,143_prepared-1_out.pdbqt,1,,,
144,-9.316,144_prepared-2_out.pdbqt,2,,,
145,-8.440,145_prepared-1_out.pdbqt,1,,,
146,-8.892,146_prepared-1_out.pdbqt,1,,,
147,-8.124,147_prepared-1_out.pdbqt,1,,,
148,-8.717,148_prepared-2_out.pdbqt,2,,,
149,-9.398,149_prepared-1_out.pdbqt,1,,,
150,-8.813,150_prepared-1_out.pdbqt,1,,,
151,-6.687,151_prepared-1_out.pdbqt,2,,,
152,-8.979,152_prepared-1_out.pdbqt,2,,,
153,-9.881,153_prepared-1_out.pdbqt,1,,,
154,-8.495,154_prepared-1_out.pdbqt,1,,,
155,-8.860,155_prepared-1_out.pdbqt,1,,,
156,-9.012,156_prepared-1_out.pdbqt,1,,,
157,-8.887,157_prepared-1_out.pdbqt,1,,,
158,-8.204,158_prepared-1_out.pdbqt,1,,,
159,-8.710,159_prepared-1_out.pdbqt,1,,,
160,-7.492,160_prepared-1_out.pdbqt,1,,,
161,-9.911,161_prepared-2_out.pdbqt,4,,,
162,-8.655,162_prepared-1_out.pdbqt,1,,,
163,-7.666,163_prepared-1_out.pdbqt,1,,,
164,-8.438,164_prepared-1_out.pdbqt,1,,,
165,-8.612,165_prepared-1_out.pdbqt,1,,,
166,-7.817,166_prepared-1_out.pdbqt,1,,,
167,-7.741,167_prepared-1_out.pdbqt,1,,,
168,-9.310,168_prepared-1_out.pdbqt,1,,,
169,-9.173,169_prepared-1_out.pdbqt,1,,,
170,-8.556,170_prepared-1_out.pdbqt,1,,,
171,-9.775,171_prepared-1_out.pdbqt,1,,,
172,-9.617,172_prepared-1_out.pdbqt,1,,,
173,-9.996,173_prepared-1_out.pdbqt,1,,,
