Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
118,-10.510,118_prepared-1_out.pdbqt,1,,,
119,-4.394,119_prepared-1_out.pdbqt,1,,,
120,0.300,120_prepared-1_out.pdbqt,1,,,
121,-11.395,121_prepared-1_out.pdbqt,1,,,
122,-3.845,122_prepared-1_out.pdbqt,1,,,
123,-11.278,123_prepared-1_out.pdbqt,1,,,
124,-12.183,124_prepared-1_out.pdbqt,3,,,
125,-10.519,125_prepared-1_out.pdbqt,2,,,
126,-5.085,126_prepared-1_out.pdbqt,1,,,
127,-9.504,127_prepared-1_out.pdbqt,1,,,
128,-4.797,128_prepared-1_out.pdbqt,1,,,
129,-10.291,129_prepared-1_out.pdbqt,1,,,
130,-11.031,130_prepared-1_out.pdbqt,1,,,
131,-9.737,131_prepared-1_out.pdbqt,1,,,
132,-7.318,132_prepared-1_out.pdbqt,1,,,
133,-8.800,133_prepared-1_out.pdbqt,1,,,
134,-11.362,134_prepared-1_out.pdbqt,1,,,
135,-9.539,135_prepared-1_out.pdbqt,1,,,
136,-10.558,136_prepared-1_out.pdbqt,1,,,
137,-9.715,137_prepared-1_out.pdbqt,1,,,
138,-10.805,138_prepared-2_out.pdbqt,3,,,
139,-3.546,139_prepared-1_out.pdbqt,1,,,
140,-11.419,140_prepared-1_out.pdbqt,1,,,
141,-7.221,141_prepared-1_out.pdbqt,1,,,
142,-11.333,142_prepared-1_out.pdbqt,1,,,
143,-4.664,143_prepared-1_out.pdbqt,1,,,
144,-9.065,144_prepared-1_out.pdbqt,1,,,
145,-8.576,145_prepared-1_out.pdbqt,1,,,
146,-9.646,146_prepared-1_out.pdbqt,1,,,
147,-10.451,147_prepared-1_out.pdbqt,1,,,
148,-2.170,148_prepared-1_out.pdbqt,1,,,
150,-8.973,150_prepared-1_out.pdbqt,1,,,
151,-11.384,151_prepared-1_out.pdbqt,1,,,
152,-4.137,152_prepared-1_out.pdbqt,1,,,
153,-3.071,153_prepared-1_out.pdbqt,1,,,
154,-9.519,154_prepared-1_out.pdbqt,1,,,
155,-5.607,155_prepared-1_out.pdbqt,1,,,
156,-8.917,156_prepared-1_out.pdbqt,1,,,
157,-0.865,157_prepared-1_out.pdbqt,1,,,
158,-6.245,158_prepared-1_out.pdbqt,1,,,
159,-9.394,159_prepared-1_out.pdbqt,1,,,
160,-0.831,160_prepared-1_out.pdbqt,1,,,
161,-12.342,161_prepared-1_out.pdbqt,1,,,
162,1.872,162_prepared-1_out.pdbqt,1,,,
163,-11.295,163_prepared-1_out.pdbqt,1,,,
164,-8.263,164_prepared-1_out.pdbqt,1,,,
165,-0.634,165_prepared-2_out.pdbqt,2,,,
166,-8.361,166_prepared-1_out.pdbqt,1,,,
167,-11.137,167_prepared-2_out.pdbqt,2,,,
168,0.204,168_prepared-1_out.pdbqt,1,,,
169,-9.908,169_prepared-1_out.pdbqt,1,,,
