Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
102,-8.954,102_shifted_prepared-1_out.pdbqt,1,,,
103,-2.793,103_shifted_prepared-1_out.pdbqt,1,,,
104,-6.180,104_shifted_prepared-3_out.pdbqt,3,,,
105,-4.677,105_shifted_prepared-1_out.pdbqt,1,,,
107,-7.993,107_shifted_prepared-4_out.pdbqt,4,,,
109,-8.757,109_shifted_prepared-1_out.pdbqt,1,,,
110,-6.292,110_shifted_prepared-1_out.pdbqt,1,,,
111,-9.160,111_shifted_prepared-1_out.pdbqt,1,,,
112,-8.487,112_shifted_prepared-1_out.pdbqt,1,,,
113,-7.974,113_shifted_prepared-6_out.pdbqt,6,,,
114,-9.094,114_shifted_prepared-2_out.pdbqt,2,,,
115,-3.859,115_shifted_prepared-1_out.pdbqt,1,,,
116,-6.985,116_shifted_prepared-2_out.pdbqt,3,,,
117,-5.398,117_shifted_prepared-2_out.pdbqt,8,,,
118,-5.692,118_shifted_prepared-1_out.pdbqt,1,,,
119,-9.067,119_shifted_prepared-1_out.pdbqt,1,,,
120,-9.168,120_shifted_prepared-1_out.pdbqt,1,,,
121,-3.439,121_shifted_prepared-1_out.pdbqt,1,,,
122,-8.083,122_shifted_prepared-1_out.pdbqt,1,,,
123,-7.143,123_shifted_prepared-1_out.pdbqt,1,,,
124,-4.276,124_shifted_prepared-2_out.pdbqt,3,,,
125,-4.372,125_shifted_prepared-1_out.pdbqt,1,,,
126,-6.463,126_shifted_prepared-1_out.pdbqt,1,,,
127,-8.552,127_shifted_prepared-1_out.pdbqt,1,,,
128,-9.703,128_shifted_prepared-3_out.pdbqt,5,,,
129,-8.452,129_shifted_prepared-1_out.pdbqt,1,,,
130,-3.779,130_shifted_prepared-1_out.pdbqt,1,,,
131,-7.507,131_shifted_prepared-1_out.pdbqt,2,,,
132,-9.998,132_shifted_prepared-1_out.pdbqt,1,,,
133,-3.036,133_shifted_prepared-1_out.pdbqt,1,,,
134,-8.697,134_shifted_prepared-1_out.pdbqt,1,,,
135,-6.970,135_shifted_prepared-1_out.pdbqt,1,,,
136,-7.409,136_shifted_prepared-1_out.pdbqt,1,,,
137,-9.500,137_shifted_prepared-1_out.pdbqt,1,,,
138,-5.356,138_shifted_prepared-1_out.pdbqt,1,,,
139,-3.097,139_shifted_prepared-1_out.pdbqt,1,,,
140,-6.215,140_shifted_prepared-1_out.pdbqt,1,,,
141,-8.052,141_shifted_prepared-1_out.pdbqt,1,,,
142,-8.947,142_shifted_prepared-1_out.pdbqt,3,,,
143,-10.573,143_shifted_prepared-1_out.pdbqt,1,,,
144,-7.419,144_shifted_prepared-1_out.pdbqt,1,,,
145,-9.857,145_shifted_prepared-2_out.pdbqt,2,,,
146,-9.389,146_shifted_prepared-1_out.pdbqt,1,,,
147,-9.273,147_shifted_prepared-4_out.pdbqt,10,,,
148,-7.600,148_shifted_prepared-1_out.pdbqt,1,,,
149,-5.333,149_shifted_prepared-2_out.pdbqt,2,,,
150,-4.809,150_shifted_prepared-1_out.pdbqt,1,,,
151,-9.208,151_shifted_prepared-1_out.pdbqt,1,,,
152,-7.842,152_shifted_prepared-4_out.pdbqt,4,,,
153,-8.113,153_shifted_prepared-1_out.pdbqt,1,,,
154,-8.022,154_shifted_prepared-1_out.pdbqt,1,,,
155,-9.672,155_shifted_prepared-1_out.pdbqt,3,,,
156,-9.009,156_shifted_prepared-11_out.pdbqt,13,,,
157,-3.296,157_shifted_prepared-1_out.pdbqt,1,,,
158,-9.685,158_shifted_prepared-1_out.pdbqt,1,,,
159,-8.544,159_shifted_prepared-1_out.pdbqt,1,,,
160,-7.730,160_shifted_prepared-1_out.pdbqt,1,,,
161,-6.408,161_shifted_prepared-1_out.pdbqt,1,,,
162,-8.452,162_shifted_prepared-1_out.pdbqt,1,,,
163,-4.848,163_shifted_prepared-1_out.pdbqt,1,,,
164,-8.555,164_shifted_prepared-1_out.pdbqt,2,,,
165,-7.438,165_shifted_prepared-2_out.pdbqt,4,,,
166,-7.191,166_shifted_prepared-1_out.pdbqt,1,,,
167,-9.986,167_shifted_prepared-1_out.pdbqt,1,,,
168,-8.560,168_shifted_prepared-1_out.pdbqt,1,,,
169,-8.591,169_shifted_prepared-1_out.pdbqt,1,,,
170,-7.999,170_shifted_prepared-1_out.pdbqt,1,,,
171,-10.798,171_shifted_prepared-1_out.pdbqt,1,,,
172,-7.930,172_shifted_prepared-1_out.pdbqt,1,,,
173,-6.603,173_shifted_prepared-2_out.pdbqt,2,,,
174,-4.209,174_shifted_prepared-1_out.pdbqt,1,,,
175,-5.086,175_shifted_prepared-1_out.pdbqt,1,,,
177,-8.521,177_shifted_prepared-1_out.pdbqt,1,,,
178,-4.875,178_shifted_prepared-1_out.pdbqt,1,,,
179,-7.456,179_shifted_prepared-1_out.pdbqt,1,,,
180,-9.302,180_shifted_prepared-1_out.pdbqt,1,,,
181,-8.260,181_shifted_prepared-1_out.pdbqt,1,,,
182,-8.688,182_shifted_prepared-1_out.pdbqt,3,,,
183,-8.440,183_shifted_prepared-1_out.pdbqt,2,,,
185,-5.475,185_shifted_prepared-1_out.pdbqt,1,,,
186,-7.708,186_shifted_prepared-1_out.pdbqt,1,,,
187,-7.610,187_shifted_prepared-1_out.pdbqt,1,,,
188,-6.863,188_shifted_prepared-1_out.pdbqt,1,,,
189,-9.812,189_shifted_prepared-1_out.pdbqt,1,,,
190,-2.663,190_shifted_prepared-1_out.pdbqt,1,,,
191,-7.386,191_shifted_prepared-1_out.pdbqt,1,,,
192,-8.942,192_shifted_prepared-1_out.pdbqt,1,,,
193,-9.099,193_shifted_prepared-1_out.pdbqt,1,,,
