InChI,SMILES,Count
AAKBJLBKEFORKA-UHFFFAOYSA-N,c1onc2c1CNC2,192308
AANBSVOIXYGCKR-SECBINFHSA-N,O=C1NCC2=C(N1)[C@]1(CCSC1)NC2=O,108240
AANBSVOIXYGCKR-VIFPVBQESA-N,O=C1NCC2=C(N1)[C@@]1(CCSC1)NC2=O,109272
AAPGLCCSVSGLFH-UHFFFAOYSA-N,O=C1CCNC(=O)c2[nH]ccc21,8
AAPIPJVQDXOYOD-UHFFFAOYSA-N,c1c2c(nc3sc4c(c13)CCC4)CCCCCC2,2
AAPWPJIEMJSFAT-DCHHYWPUSA-N,C1=C[C@@H]2C3=C([C@H]4CC[C@H]3C4)[C@@H]1[C@H]1C[C@@H]12,2
AAPWPJIEMJSFAT-SDONNHMOSA-N,C1=C[C@@H]2C3=C([C@H]4CC[C@H]3C4)[C@@H]1[C@@H]1C[C@@H]12,4
AAPWPJIEMJSFAT-ZNSCXOEOSA-N,C1=C[C@@H]2C3=C([C@H]4CC[C@H]3C4)[C@@H]1[C@@H]1C[C@H]12,2
AAPXUGKJEOQLCN-UHFFFAOYSA-N,[CH]1Cc2ccccc2CN1,2
AAQTWLBJPNLKHT-UHFFFAOYSA-N,C1=Nc2cccc3cccc(c23)N1,47588
AAQTWLBJPNLKHT-UHFFFAOYSA-O,C1=[NH+]c2cccc3cccc(c23)N1,4
AAQYASPAZINTJT-UHFFFAOYSA-N,O=C1NCNc2sc3c(c21)CCOC3,20
AATMCCVYMZDTCD-UHFFFAOYSA-N,C1=Cc2ccccc2C=CC1,4
AATQJLPLQHSDPT-UHFFFAOYSA-N,O=C1CCc2nc3sncc3cc21,4
AATUWRVHPAZBAQ-NXEZZACHSA-N,C1CC[C@@]23CNCC[C@]2(C1)C3,173480
AATUWRVHPAZBAQ-UWVGGRQHSA-N,C1CC[C@]23CNCC[C@@]2(C1)C3,174172
AATUWRVHPAZBAQ-VHSXEESVSA-N,C1CC[C@@]23CNCC[C@@]2(C1)C3,174478
AATUWRVHPAZBAQ-ZJUUUORDSA-N,C1CC[C@]23CNCC[C@]2(C1)C3,173236
AAUBAPMXIKRIIH-UHFFFAOYSA-N,c1cc2n(c1)CSC2,34
AAUHGKXJBZEARK-UHFFFAOYSA-N,O=c1c2ccccc2c2cc3c(=O)c4ccccc4c3cc12,2
AAUMDVOXGWDCSY-UHFFFAOYSA-N,N=C1Nc2nc3ccccc3n2C12CCC1(CCOC1)CC2,2
AAVDGYGIVMGCDZ-UHFFFAOYSA-N,O=c1cc[nH]c2c1CNC2,194290
AAWRVNZYQYXQIR-IIJFQDNNSA-N,O=C1C[C@H]2[C@@H](CC[C@]23CO3)[C@H]2CC=C3C=CCC[C@@H]3[C@H]12,2
AAWZVFODMPHFTP-CSODHUTKSA-N,O=C1N[C@H]2CCC[C@H]2NC(=O)[C@@]2(CC=CCOc3ccccc31)CCCN2,2
AAWZVFODMPHFTP-FVJLSDCUSA-N,O=C1N[C@H]2CCC[C@H]2NC(=O)[C@]2(CC=CCOc3ccccc31)CCCN2,2
AAXDQTDZKGIMRK-UHFFFAOYSA-N,C1CCC2(CC1)N1CC3CC(C1)CN2C3,8
AAYGMVIISWIUBV-DTVLGXAZSA-N,O=C1c2ccccc2[C@H]2[C@@H]3CC[C@@H](C3)[C@H]12,2
AAYGMVIISWIUBV-NGERZBJRSA-N,O=C1c2ccccc2[C@H]2[C@H]3CC[C@@H](C3)[C@H]12,6
AAYGMVIISWIUBV-PSJXJDHFSA-N,O=C1c2ccccc2[C@@H]2[C@@H]3CC[C@@H](C3)[C@H]12,2
AAYGMVIISWIUBV-RBJBARPLSA-N,O=C1c2ccccc2[C@H]2[C@H]3CC[C@@H](C3)[C@@H]12,6
AAYGMVIISWIUBV-VDUILEQBSA-N,O=C1c2ccccc2[C@@H]2[C@H]3CC[C@@H](C3)[C@H]12,6
AAYGMVIISWIUBV-WTTBSCSTSA-N,O=C1c2ccccc2[C@@H]2[C@H]3CC[C@@H](C3)[C@@H]12,6
AAYKGHJFMYRXAP-UHFFFAOYSA-N,O=c1scnc2ccccc12,28
AAYNGPDGJLZBOU-UHFFFAOYSA-N,O=c1ccnc2sc3ccccc3n12,76810
AAZQVHOGGCMOLN-UHFFFAOYSA-N,O=C1CNCSC1,6
AAZVXZWIZSYZLN-UHFFFAOYSA-N,C1CC2(C1)CNCCO2,28647090
AAZVXZWIZSYZLN-UHFFFAOYSA-O,C1CC2(C1)C[NH2+]CCO2,2
AAZZTBLLRWPZHV-GOSISDBHSA-N,O=C1N[C@@H]2CCCN(C2)C(=O)C2(CC=CCc3ccccc31)CCOCC2,8
AAZZTBLLRWPZHV-SFHVURJKSA-N,O=C1N[C@H]2CCCN(C2)C(=O)C2(CC=CCc3ccccc31)CCOCC2,6
ABADUMLIAZCWJD-UHFFFAOYSA-N,C1=COCO1,8
ABBFPFRWZOTNAD-UHFFFAOYSA-N,C=C1NOC2(CC=CC2)N1,4
ABCNZTCKYGTWCW-BDVNFPICSA-N,C1OC[C@@H]2OC[C@H]3O[C@H]3[C@@H]2O1,10
ABCNZTCKYGTWCW-BNHYGAARSA-N,C1OC[C@@H]2OC[C@H]3O[C@H]3[C@H]2O1,4
ABCNZTCKYGTWCW-BWBBJGPYSA-N,C1OC[C@H]2OC[C@@H]3O[C@@H]3[C@H]2O1,2
ABCNZTCKYGTWCW-DBRKOABJSA-N,C1OC[C@H]2OC[C@H]3O[C@H]3[C@@H]2O1,16
ABCNZTCKYGTWCW-GBNDHIKLSA-N,C1OC[C@H]2OC[C@H]3O[C@@H]3[C@@H]2O1,4
ABCNZTCKYGTWCW-JRTVQGFMSA-N,C1OC[C@H]2OC[C@@H]3O[C@H]3[C@H]2O1,2
ABCNZTCKYGTWCW-JWXFUTCRSA-N,C1OC[C@H]2OC[C@H]3O[C@@H]3[C@H]2O1,2
ABCNZTCKYGTWCW-MVIOUDGNSA-N,C1OC[C@H]2OC[C@H]3O[C@H]3[C@H]2O1,2
ABCNZTCKYGTWCW-UCROKIRRSA-N,C1OC[C@H]2OC[C@@H]3O[C@@H]3[C@@H]2O1,16
ABCNZTCKYGTWCW-WNJXEPBRSA-N,C1OC[C@@H]2OC[C@H]3O[C@@H]3[C@@H]2O1,2
ABCNZTCKYGTWCW-XZBKPIIZSA-N,C1OC[C@H]2OC[C@@H]3O[C@H]3[C@@H]2O1,2
ABCNZTCKYGTWCW-YTLHQDLWSA-N,C1OC[C@@H]2OC[C@@H]3O[C@@H]3[C@@H]2O1,10
ABCNZTCKYGTWCW-ZTYPAOSTSA-N,C1OC[C@@H]2OC[C@@H]3O[C@H]3[C@H]2O1,4
ABCOBMMATQDRAY-UHFFFAOYSA-N,C=C1CC2(C1)NC(=O)C=C1CCCCN1C2=O,2
ABCXULAASUQBOC-UHFFFAOYSA-N,O=C1Cc2ccccc2C(=O)Cc2ccccc21,2
ABDLYASPAVETMH-UHFFFAOYSA-N,c1nnc2[nH]ncc2n1,24
ABECZPZKCSZWKE-CYBMUJFWSA-N,O=C1CC[C@@]2(CCN1)NC(=O)c1ccccc1O2,10
