InChI,SMILES,Count
BRJBBYOUMVBUMY-UHFFFAOYSA-N,O=C1CN2CCN=C2S1,2
BRJDXTKDGMMXIH-UHFFFAOYSA-N,c1cc2oncc2s1,2
BRJWKXFGXIMXOQ-GHMZBOCLSA-N,O=C1NN=C2CC[C@@]34C[C@@]12CCC3=NNC4=O,2
BRKHNNMDYFBLQF-CYBMUJFWSA-N,O=C1CCCC2=C1C(=O)C[C@@H]1c3cccn3CCCN21,2
BRKKBDUDBBVAJY-UHFFFAOYSA-N,N=C1CCCCCc2ccccc21,2
BRKRARGXDRZEON-UHFFFAOYSA-N,O=C1NCc2cc3c(cc21)OCCO3,4
BRLBRJASOFLJFM-UHFFFAOYSA-N,C1=NN=Cc2c[nH]c3cccc1c23,4
BRLDZKPJJNASGG-KRWDZBQOSA-N,c1ccc2c(c1)C[C@H]1c3ccccc3CCN1C2,34
BRLDZKPJJNASGG-KRWDZBQOSA-O,c1ccc2c(c1)C[C@H]1c3ccccc3CC[N@H+]1C2,8
BRLDZKPJJNASGG-QGZVFWFLSA-N,c1ccc2c(c1)C[C@@H]1c3ccccc3CCN1C2,30
BRLDZKPJJNASGG-QGZVFWFLSA-O,c1ccc2c(c1)C[C@@H]1c3ccccc3CC[N@@H+]1C2,4
BRLGSLLYKCZOQN-AWEZNQCLSA-N,O=C1OCCC2=C1CC[C@H]1c3ccccc3CCN21,4
BRLGSLLYKCZOQN-CQSZACIVSA-N,O=C1OCCC2=C1CC[C@@H]1c3ccccc3CCN21,4
BRLGUCHBCITDAE-UHFFFAOYSA-N,c1cc2c([nH]c3sccc32)s1,2
BRLPPEPJJLDMAD-BXGGWDPDSA-N,C1C2[C@@H]3[C@H]2[C@H]2CC[C@H]3C12,14
BRLPPEPJJLDMAD-CXTCBZKJSA-N,C1C2[C@H]3[C@H]2[C@H]2CC[C@H]3C12,10
BRLPPEPJJLDMAD-INGFRUDASA-N,C1C[C@H]2[C@H]3C[C@@H]4[C@@H]([C@H]42)[C@@H]13,12
BRLPPEPJJLDMAD-LLVDSZRASA-N,C1[C@@H]2[C@@H]3CC[C@@H]2[C@@H]2[C@@H]1[C@H]32,2
BRLPPEPJJLDMAD-LTUMISQWSA-N,C1[C@@H]2[C@H]3CC[C@@H]2[C@@H]2[C@@H]1[C@@H]32,4
BRLPPEPJJLDMAD-LWLSDRFFSA-N,C1C2[C@@H]3[C@@H]2[C@H]2CC[C@H]3C12,8
BRLPPEPJJLDMAD-MPZDYKMXSA-N,C1[C@H]2[C@@H]3CC[C@@H]2[C@@H]2[C@@H]1[C@H]32,2
BRLPPEPJJLDMAD-QOFPVIHJSA-N,C1C2[C@H]3[C@H]2[C@@H]2CC[C@@H]3C12,6
BRLPPEPJJLDMAD-VKHFAMPOSA-N,C1[C@H]2[C@H]3CC[C@@H]2[C@@H]2[C@@H]1[C@@H]32,4
BRLPPEPJJLDMAD-WPAQIBSUSA-N,C1[C@@H]2[C@@H]3CC[C@@H]2[C@@H]2[C@H]1[C@H]32,2
BRLPPEPJJLDMAD-YMJWHCTPSA-N,C1C[C@H]2[C@H]3C[C@H]4[C@H]([C@@H]42)[C@@H]13,4
BRLPPEPJJLDMAD-YPHLGKNOSA-N,C1C2[C@H]3[C@H]2[C@H]2CC[C@@H]3C12,4
BRLPPEPJJLDMAD-ZQBLYPSISA-N,C1C[C@H]2[C@H]3C[C@@H]4[C@H]([C@@H]42)[C@@H]13,4
BRMLAAPMQMECEI-UHFFFAOYSA-N,O=C1NCc2[nH]c3ccccc3c2N1,2
BRNCTEUUWQPNBJ-UHFFFAOYSA-N,O=S1(=O)C=CNCC1,10
BRNDXIDGIYFZLD-BQBZGAKWSA-N,C1=C[C@@H]2CCNC[C@@H]2S1,2
BRNDXIDGIYFZLD-NKWVEPMBSA-N,C1=C[C@@H]2CCNC[C@H]2S1,2
BRNDXIDGIYFZLD-RNFRBKRXSA-N,C1=C[C@H]2CCNC[C@H]2S1,2
BRNDXIDGIYFZLD-RQJHMYQMSA-N,C1=C[C@H]2CCNC[C@@H]2S1,2
BRNSNVSZOPZQHB-NSHDSACASA-N,C1=CC2=CC=CC3=CNC(=C1)[C@@H]23,2
BRNULMACUQOKMR-UHFFFAOYSA-N,C1CSCCN1,291119360
BRNULMACUQOKMR-UHFFFAOYSA-O,C1CSCC[NH2+]1,502
BRNYUCOKXRRANQ-UHFFFAOYSA-N,O=C1CSCc2nc3sccc3cc21,12
BROBAGLBBWMSQF-CKIJPRSSSA-N,c1ccc2c(c1)[C@H]1O[C@@H]2[C@@H]2C[C@@H]21,2
BROBAGLBBWMSQF-LMLFDSFASA-N,c1ccc2c(c1)[C@H]1O[C@H]2[C@H]2C[C@H]21,2
BROBAGLBBWMSQF-NAKRPEOUSA-N,c1ccc2c(c1)[C@@H]1O[C@@H]2[C@H]2C[C@@H]21,2
BROBAGLBBWMSQF-UKKRHICBSA-N,c1ccc2c(c1)[C@H]1O[C@H]2[C@H]2C[C@@H]21,2
BROBAGLBBWMSQF-VLEAKVRGSA-N,c1ccc2c(c1)[C@@H]1O[C@@H]2[C@H]2C[C@H]21,2
BROBAGLBBWMSQF-XWLWVQCSSA-N,c1ccc2c(c1)[C@H]1O[C@@H]2[C@H]2C[C@@H]21,2
BROBAGLBBWMSQF-ZNSHCXBVSA-N,c1ccc2c(c1)[C@@H]1O[C@@H]2[C@@H]2C[C@H]21,2
BROJTEHXQMJYTF-UHFFFAOYSA-N,O=C1CNC2(CCC3(CCOC3)CC2)N1,30
BRPKTGISHQCRFM-LURJTMIESA-N,O=C1C[C@@]2(CCS2)NC(=S)N1,2
BRPKTGISHQCRFM-ZCFIWIBFSA-N,O=C1C[C@]2(CCS2)NC(=S)N1,2
BRPUJJPFHLFRET-UHFFFAOYSA-N,C=C1C=C2CCCCC2=NC1=O,50
BRPVANBNMHKGGW-UHFFFAOYSA-N,O=S1(=O)Cc2cc3nonc3nc2-c2ccccc21,12
BRQBVEHLEITSPT-UHFFFAOYSA-N,C1NNCS1,8
BRQRCYQAGJDWPI-HNNXBMFYSA-N,O=C1NC[C@@H]2CCCN2C(=O)CCC=CCNS(=O)(=O)c2cccc1c2,38
BRQRCYQAGJDWPI-OAHLLOKOSA-N,O=C1NC[C@H]2CCCN2C(=O)CCC=CCNS(=O)(=O)c2cccc1c2,34
BRQXUEJDCXGTGC-INIZCTEOSA-N,O=C1C[C@@H]2Cc3ccccc3CN2C(=O)C2(CC3(CCCC3)C2)N1,2
BRRJETCAZCEPBM-HSZRJFAPSA-N,O=C1NC2(CCCCC2)CNC(=O)[C@@]2(CC=CCc3ccccc31)CCCN2,2
BRRJETCAZCEPBM-QHCPKHFHSA-N,O=C1NC2(CCCCC2)CNC(=O)[C@]2(CC=CCc3ccccc31)CCCN2,2
BRSTYMUNIMXZFT-JCYAYHJZSA-N,O=C1N[C@@H]2NS(=O)(=O)N[C@H]2N1,2
BRSTYMUNIMXZFT-LWMBPPNESA-N,O=C1N[C@H]2NS(=O)(=O)N[C@@H]2N1,2
BRSTYMUNIMXZFT-XIXRPRMCSA-N,O=C1N[C@@H]2NS(=O)(=O)N[C@@H]2N1,2
BRTALTYTFFNPAC-UHFFFAOYSA-N,B1OBOBO1,24
BRTSBHKQFWDFCM-FQEVSTJZSA-N,c1ccc2c(c1)CO[C@]21CCc2nc3ccccc3cc2C1,36
BRTSBHKQFWDFCM-HXUWFJFHSA-N,c1ccc2c(c1)CO[C@@]21CCc2nc3ccccc3cc2C1,36
BRUJXXBWUDEKCK-UHFFFAOYSA-N,c1cc2n(n1)CN=N2,4
BRUYRSSBQLIFLN-UHFFFAOYSA-N,C1=C2Cc3cn[nH]c3N=C2CCC1,8
BRVLNNNCVSZJIP-UHFFFAOYSA-N,O=c1oc2cccc[n+]2s1,2
BRVRBWQXOMAOMF-UHFFFAOYSA-N,c1cc2cc3cc[nH]c3cc2[nH]1,4
BRVSLBDYAVCVLV-UHFFFAOYSA-N,O=S1(=O)CC[N+]2(CCC3(CCC3)C2)CC1,2
BRVSNRACQLWLFE-UHFFFAOYSA-N,O=C1N=CNC12CCNCC2,84302
BRVSNRACQLWLFE-UHFFFAOYSA-O,O=C1N=CNC12CC[NH2+]CC2,26
BRWSRICYLCWTOI-UHFFFAOYSA-N,c1ccc2c3c([nH]c2c1)CCc1cncnc1-3,4
BRXHZRWIXVOUJJ-UHFFFAOYSA-N,N=C1Nc2nc3ccccc3n2C12CCC1(CC2)OCCO1,10
BRXRRRNVQKUWRA-BIQWYFBQSA-N,C1C[C@]23CCC[C@]2(C1)CC[C@H]1OCO[C@H]1CC3,4
BRXRRRNVQKUWRA-DGKWVBSXSA-N,C1CC23CCCC2(C1)CC[C@H]1OCO[C@H]1CC3,6
BRXRRRNVQKUWRA-NMWPEEMBSA-N,C1C[C@]23CCC[C@@]2(C1)CC[C@H]1OCO[C@H]1CC3,2
BRXWJQKRZSDABL-UHFFFAOYSA-N,O=C1CCOc2ncccc21,33112
BRXYDRIZVHRXCQ-UHFFFAOYSA-N,c1nnc2n1CCC2,26101334
BRXYDRIZVHRXCQ-UHFFFAOYSA-O,c1[nH]nc2[n+]1CCC2,14
BRYKHZDQKQRTDN-UHFFFAOYSA-N,O=c1[nH]sc2ncccc12,40310
BRYMBYJNANKXIJ-UHFFFAOYSA-N,C=C1C=CNS1,56
BRYXNMQQQRHIIW-UHFFFAOYSA-O,c1ccc2c(c1)CCn1ccnc1C21CC[NH2+]CC1,2
BRZQHPMMCBRBEM-UHFFFAOYSA-N,c1c2c(cc3c1OCc1cc4c5c(sc4nc1-3)CCC5)OCO2,4
BRZQIBXQKBMWQJ-UHFFFAOYSA-N,O=c1ccc2cc3c(cc2[nH]1)OCCO3,1570
BSABZYAGGCDUMN-SECBINFHSA-N,O=C1NCC2(CCOCC2)C(=O)N2CCC[C@H]12,6
BSABZYAGGCDUMN-VIFPVBQESA-N,O=C1NCC2(CCOCC2)C(=O)N2CCC[C@@H]12,16
BSADVTDIEROZBK-UHFFFAOYSA-M,O=c1[nH]c(=S)[n-]c2sc3c(c12)CCCS3,2
BSADVTDIEROZBK-UHFFFAOYSA-N,O=c1[nH]c(=S)[nH]c2sc3c(c12)CCCS3,8
BSAKLKLTKNYJDP-UHFFFAOYSA-N,N=c1[nH]ccc2nnnn12,18276
BSCDMGHFVRVQNT-JJLQDPRZSA-N,O=C1Nc2ccccc2C=N[C@@]12[C@@H]1CCCC[C@@H]12,2
BSCDMGHFVRVQNT-JYAVWHMHSA-N,O=C1Nc2ccccc2C=N[C@]12[C@@H]1CCCC[C@@H]12,18
BSCDMGHFVRVQNT-RYUDHWBXSA-N,O=C1Nc2ccccc2C=NC12[C@H]1CCCC[C@@H]12,20
BSCDMGHFVRVQNT-VXGBXAGGSA-N,O=C1Nc2ccccc2C=NC12[C@@H]1CCCC[C@H]12,20
BSDXPIZAJAWYHT-UHFFFAOYSA-N,c1n[nH]c2nc3c(cc12)CC1(CCCCCC1)CC3,4
BSEKZMOBPPOFFB-BXKVDMCESA-N,O=C1NC(=O)[C@@H]2[C@@H]1[C@@H]1C=C[C@@H]2O1,370
BSEKZMOBPPOFFB-FBXFSONDSA-N,O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1C=C[C@H]2O1,702
BSEKZMOBPPOFFB-FSIIMWSLSA-N,O=C1NC(=O)[C@@H]2[C@@H]1[C@@H]1C=C[C@H]2O1,774
BSEKZMOBPPOFFB-GUCUJZIJSA-N,O=C1NC(=O)[C@H]2[C@@H]1[C@H]1C=C[C@@H]2O1,598
BSEKZMOBPPOFFB-JGWLITMVSA-N,O=C1NC(=O)[C@H]2[C@H]1[C@@H]1C=C[C@H]2O1,466
BSEKZMOBPPOFFB-KAZBKCHUSA-N,O=C1NC(=O)[C@H]2[C@@H]1[C@H]1C=C[C@H]2O1,62360
BSEKZMOBPPOFFB-KVTDHHQDSA-N,O=C1NC(=O)[C@H]2[C@H]1[C@H]1C=C[C@H]2O1,55130
BSEKZMOBPPOFFB-OMMKOOBNSA-N,O=C1NC(=O)[C@H]2[C@@H]1[C@@H]1C=C[C@@H]2O1,532
BSEKZMOBPPOFFB-UNTFVMJOSA-N,O=C1NC(=O)[C@H]2[C@H]1[C@@H]1C=C[C@@H]2O1,214
BSEKZMOBPPOFFB-ZXXMMSQZSA-N,O=C1NC(=O)[C@@H]2[C@@H]1[C@H]1C=C[C@H]2O1,49980
BSEPPFVECZITKP-UHFFFAOYSA-N,N=c1ccc2[nH]ccc(=N)c2[nH]1,2320
BSEVUKKOSPHLDO-UHFFFAOYSA-O,c1cc2[nH+]nnc-2c[nH]1,10
BSFIWZKXVLDWNS-XQQFMLRXSA-N,C=C1CCCC2=CCC[C@H]3[C@@H](C2)[C@@H]13,4
BSGAVUPYAXBXMC-UHFFFAOYSA-N,c1c2c(c3nc4c(c5c3c1CC5)SCC4)CCC2,2
BSGFDVURICGFKD-BBRMVZONSA-N,O=C1C[C@@]2(CCN3CCc4ccccc4[C@@H]3C2)C(=O)N1,2
BSGFDVURICGFKD-CJNGLKHVSA-N,O=C1C[C@@]2(CCN3CCc4ccccc4[C@H]3C2)C(=O)N1,2
BSGFDVURICGFKD-CZUORRHYSA-N,O=C1C[C@]2(CCN3CCc4ccccc4[C@H]3C2)C(=O)N1,2
BSGFDVURICGFKD-XJKSGUPXSA-N,O=C1C[C@]2(CCN3CCc4ccccc4[C@@H]3C2)C(=O)N1,2
BSGSJBZAJTVWPZ-UHFFFAOYSA-N,O=C1CCCc2cn3c(nc21)nc1ccccc13,2
BSHCQCQFFCOGEC-UHFFFAOYSA-N,c1cc2c(s1)Cc1sccc1-2,2
BSHFNMRQILQYJH-UHFFFAOYSA-N,O=C1CCOc2ccc3c(c21)CCCC3,2
BSHIBBTUDCCTKC-AYAQEJOPSA-N,C1=C[C@H]2C[C@@H](C1)[C@@H]1C[C@H]3C[C@H]3[C@@H]12,2
BSHIBBTUDCCTKC-CNOCOONNSA-N,C1=C[C@H]2C[C@@H](C1)[C@@H]1C[C@H]3C[C@@H]3[C@@H]12,2
BSHIBBTUDCCTKC-QAWJZHMJSA-N,C1=C[C@H]2C[C@@H](C1)[C@@H]1C[C@H]3C[C@H]3[C@H]12,4
BSHIBBTUDCCTKC-VXXUGFECSA-N,C1=C[C@H]2C[C@@H](C1)[C@@H]1C[C@H]3C[C@@H]3[C@H]12,2
BSIKFHGJWSVBLX-UHFFFAOYSA-N,O=c1c2ccccc2nc2ncccn12,4
BSIZWMRRMCILTB-UHFFFAOYSA-N,c1nnc2n1CCN2,96
BSKUDRMQHNXSET-UHFFFAOYSA-N,N=c1cc2sc(=N)nc-2[nH][nH]1,25408
BSLILPJLPNICSF-SECBINFHSA-N,O=C1CCCCCC[C@@]12CO2,4
BSLILPJLPNICSF-VIFPVBQESA-N,O=C1CCCCCC[C@]12CO2,4
BSLNVIXQUMUPDF-UHFFFAOYSA-N,c1ncc2cnsc2n1,101698
BSMDIPMHFGRMNS-SSDOTTSWSA-N,O=C1CCC[C@H]2OCCN12,8
BSMDIPMHFGRMNS-ZETCQYMHSA-N,O=C1CCC[C@@H]2OCCN12,8
BSMHLFYSFPJFNN-UHFFFAOYSA-N,N=C1NN=CCS1,27546
BSMIOTKCGTYUAG-SLPGGIOYSA-N,C1O[C@H]2[C@@H]3OC[C@H](O3)[C@H]2O1,4
BSMIOTKCGTYUAG-UNTFVMJOSA-N,C1O[C@@H]2[C@@H](O1)[C@@H]1OC[C@@H]2O1,4
BSMMVCYABAQFMA-UHFFFAOYSA-N,c1cc2c(cn1)COCC2,2327460
BSMPBKDGAMCPLG-GRYCIOLGSA-N,O=C1OCC[C@@H]2[C@@H]1[C@@H]1CCCN1C21CCNCC1,2
BSMPBKDGAMCPLG-IJLUTSLNSA-N,O=C1OCC[C@@H]2[C@@H]1[C@H]1CCCN1C21CCNCC1,2
BSMPBKDGAMCPLG-QJPTWQEYSA-N,O=C1OCC[C@H]2[C@@H]1[C@H]1CCCN1C21CCNCC1,2
BSMPBKDGAMCPLG-TUAOUCFPSA-N,O=C1OCC[C@H]2[C@H]1[C@H]1CCCN1C21CCNCC1,2
BSMPBKDGAMCPLG-UTUOFQBUSA-N,O=C1OCC[C@@H]2[C@H]1[C@H]1CCCN1C21CCNCC1,2
BSMPBKDGAMCPLG-WOPDTQHZSA-N,O=C1OCC[C@@H]2[C@H]1[C@@H]1CCCN1C21CCNCC1,2
BSNPFPUIELFRIR-UHFFFAOYSA-N,N=C1C=Cc2cccn21,6
BSNSPNHWEMGXBT-HTQZYQBOSA-N,O=C1Oc2ccccc2[C@H]2C[C@@H]12,18
BSNSPNHWEMGXBT-JGVFFNPUSA-N,O=C1Oc2ccccc2[C@@H]2C[C@@H]12,22
BSNSPNHWEMGXBT-SFYZADRCSA-N,O=C1Oc2ccccc2[C@H]2C[C@H]12,12
BSNSPNHWEMGXBT-YUMQZZPRSA-N,O=C1Oc2ccccc2[C@@H]2C[C@H]12,8
BSNZWSKBNMIUPM-UHFFFAOYSA-N,N=C1C=CCN1,502
BSOLXUPMVPHIJJ-UHFFFAOYSA-N,O=c1ncc2cc3c(nc2[nH]1)-c1ccccc1CS3,2
BSOWECXIWLZXHN-UHFFFAOYSA-N,N=c1cccc2[nH][nH]cc1-2,6
BSPVYWBNGUTBQQ-UHFFFAOYSA-N,O=C1NC2(CCCC2)Oc2ccccc21,98
BSQDQJUETYZPCA-NOZJJQNGSA-N,O=C1C[C@H]2CCCO[C@H]2c2ccccc21,2
BSQDQJUETYZPCA-RNCFNFMXSA-N,O=C1C[C@H]2CCCO[C@@H]2c2ccccc21,2
BSQDQJUETYZPCA-TVQRCGJNSA-N,O=C1C[C@@H]2CCCO[C@H]2c2ccccc21,2
BSQDQJUETYZPCA-ZANVPECISA-N,O=C1C[C@@H]2CCCO[C@@H]2c2ccccc21,2
BSQKGAVROUDOTE-UHFFFAOYSA-N,C1CC2(C1)CCNCC2,159326744
BSQKGAVROUDOTE-UHFFFAOYSA-O,C1CC2(C1)CC[NH2+]CC2,202
BSQNSQJPSJQDNG-HTQZYQBOSA-N,O=C1NC[C@H]2OC3(CCCCC3)O[C@@H]12,4
BSQNSQJPSJQDNG-YUMQZZPRSA-N,O=C1NC[C@@H]2OC3(CCCCC3)O[C@H]12,4
BSQQTMMSCSSKST-UHFFFAOYSA-N,O=C1OOC(=O)C12CCC2,2
BSRFTQPVIBBRHN-UHFFFAOYSA-N,C=c1[nH]c(=O)c(=C2Nc3ccccc3S2)s1,2
BSRITDQWGPSXPQ-UHFFFAOYSA-N,O=c1[nH]c(=O)c2[nH]ccc2[nH]1,56
BSRKEGXLHDDNPM-MRVPVSSYSA-O,O=C1C[C@H]2CCCC[N@@H+]2CCN1,4
BSRKEGXLHDDNPM-QMMMGPOBSA-O,O=C1C[C@@H]2CCCC[N@H+]2CCN1,4
BSSAYGWMFGXIPF-UHFFFAOYSA-N,O=c1[nH]ccc2c1CCCC2,373168
BSSIKRNVAYVNBK-UHFFFAOYSA-N,O=c1[nH]cnc2c1Nc1ccccc1C2,2
BSTJIFUZKGEHKP-CYDGBPFRSA-N,C1=C[C@H]2[C@@H](CC1)CO[C@H]1CCCC[C@@H]21,4
BSTJIFUZKGEHKP-FDYHWXHSSA-N,C1=C[C@@H]2[C@H](CC1)CO[C@@H]1CCCC[C@H]21,6
BSTJIFUZKGEHKP-UMSGYPCISA-N,C1=C[C@@H]2[C@@H](CC1)CO[C@@H]1CCCC[C@H]21,2
BSTJIFUZKGEHKP-VOAKCMCISA-N,C1=C[C@H]2[C@H](CC1)CO[C@H]1CCCC[C@@H]21,4
BSTJIFUZKGEHKP-WUHRBBMRSA-N,C1=C[C@H]2[C@@H](CC1)CO[C@@H]1CCCC[C@H]21,4
BSTJIFUZKGEHKP-XQHKEYJVSA-N,C1=C[C@H]2[C@H](CC1)CO[C@H]1CCCC[C@H]21,4
BSTJIFUZKGEHKP-YVECIDJPSA-N,C1=C[C@H]2[C@H](CC1)CO[C@@H]1CCCC[C@H]21,4
BSTMNBIXHPMTKD-UHFFFAOYSA-N,O=c1[nH]c2nncc(=O)n2c2sc3c(c12)CCOC3,2
BSUGZTGRJKZDQJ-CNVPUSNMSA-N,c1cc[n+]2c(c1)S[C@@H]1[C@@H]3CC[C@H](C3)[C@H]12,4
BSUGZTGRJKZDQJ-FSZOTQKASA-N,c1cc[n+]2c(c1)S[C@@H]1[C@H]3CC[C@@H](C3)[C@@H]12,2
BSUGZTGRJKZDQJ-GAIPPQHRSA-N,c1cc[n+]2c(c1)S[C@@H]1[C@H]3CC[C@@H](C3)[C@H]12,2
BSUGZTGRJKZDQJ-LUTQBAROSA-N,c1cc[n+]2c(c1)S[C@@H]1[C@@H]3CC[C@@H](C3)[C@H]12,4
BSUGZTGRJKZDQJ-QSFUFRPTSA-N,c1cc[n+]2c(c1)S[C@H]1[C@H]3CC[C@@H](C3)[C@@H]12,2
BSUGZTGRJKZDQJ-XPXLGCRWSA-N,c1cc[n+]2c(c1)S[C@H]1[C@H]3CC[C@@H](C3)[C@H]12,2
BSWAKPMUPFLVGI-XNCJUZBTSA-N,C=C1CCO[C@@H]2NC(=O)[C@H]1NC2=O,4
BSXBDKGWSQDPPD-UHFFFAOYSA-N,O=C1NC(=O)c2ncncc21,58
BSXLAHUSNFODOB-UHFFFAOYSA-N,O=S1(=O)Cc2[nH]c(=S)sc2C1,10
BSXLEFMXFCLZKC-UHFFFAOYSA-N,O=C1SC2(CCCCC2)SC1=O,2
BSXOGZWCVKLXFR-UHFFFAOYSA-N,c1cc2ncnnc2cn1,2
BSZHZHOGUJFGLP-UHFFFAOYSA-O,O=C1C=CN[N+]1=c1[nH]c2ccccc2s1,2
BSZOIKKTMZSXJV-UHFFFAOYSA-N,O=[PH]1Oc2ccccc2O1,6
BSZRVKOIXPMMCT-NRFANRHFSA-N,c1c2c(c3nc4c(c5c3c1CC5)C[C@@]1(CCOC1)CC4)CCC2,2
BSZRVKOIXPMMCT-OAQYLSRUSA-N,c1c2c(c3nc4c(c5c3c1CC5)C[C@]1(CCOC1)CC4)CCC2,2
BTABMLNUVPIXEM-AATLWQCWSA-N,C1=C[C@H]2C[C@@H]1[C@H]1C=C[C@H]2C1,2
BTABMLNUVPIXEM-BECAKDQMSA-N,C1=C[C@@H]2C[C@@H]1[C@H]1C=C[C@H]2C1,4
BTABMLNUVPIXEM-FIRGSJFUSA-N,C1=C[C@H]2C[C@@H]1[C@H]1C=C[C@@H]2C1,2
BTABMLNUVPIXEM-XKNYDFJKSA-N,C1=C[C@H]2C[C@H]1[C@H]1C=C[C@H]2C1,2
BTAIBIXHXSXUFN-UHFFFAOYSA-N,O=C1c2cccnc2-c2nccc3c2c1nc1ccccc13,4
BTAXONLCBBMZJA-OJIVJNGMSA-N,O=C1C[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)[C@@]2(CCc3ccccc32)N1,2
BTAXONLCBBMZJA-YRWGSWDYSA-N,O=C1C[C@@H]2[C@H]3CC[C@H](C3)N2C(=O)[C@]2(CCc3ccccc32)N1,2
BTBILXLKEILIAA-GHMZBOCLSA-N,O=C1NC2(C(=O)NCC13CCCC3)[C@@H]1CCCC[C@H]12,2
BTBILXLKEILIAA-HBYGRHMLSA-N,O=C1N[C@@]2(C(=O)NCC13CCCC3)[C@@H]1CCCC[C@@H]12,2
BTBILXLKEILIAA-QWRGUYRKSA-N,O=C1NC2(C(=O)NCC13CCCC3)[C@H]1CCCC[C@@H]12,2
BTBPGUBVEMRSDM-WDSKDSINSA-N,O=C1NC[C@@H]2CCCO[C@@H]2N1,4
BTBZEPNAHOHWNG-YLWLKBPMSA-N,N=C1N[C@H]2CNC(=N)N3CCC[C@]23N1,2
BTCVCCDIQBKFGH-UHFFFAOYSA-N,[N-]=[N+]=C1C(=O)C=Cc2ccccc21,6
BTDGIUKISIULAD-BJDJZHNGSA-N,O=C1OC(=O)[C@@H]2[C@@H]1[C@H]1CC[C@H]2c2ccccc21,2
BTDGIUKISIULAD-FIQHERPVSA-N,O=C1OC(=O)[C@H]2[C@@H]1[C@H]1CC[C@H]2c2ccccc21,4
BTDGIUKISIULAD-NNYUYHANSA-N,O=C1OC(=O)[C@H]2[C@H]1[C@H]1CC[C@H]2c2ccccc21,2
BTDULGXFHYSOLZ-NXEZZACHSA-N,N=C1C[C@@H]2c3ccccc3C[C@@H]12,2
BTDULGXFHYSOLZ-UWVGGRQHSA-N,N=C1C[C@H]2c3ccccc3C[C@H]12,2
BTDULGXFHYSOLZ-VHSXEESVSA-N,N=C1C[C@H]2c3ccccc3C[C@@H]12,2
BTDULGXFHYSOLZ-ZJUUUORDSA-N,N=C1C[C@@H]2c3ccccc3C[C@H]12,2
BTDWODNXBUPGEH-UHFFFAOYSA-N,O=C1CC2=C(CCCC2=O)O1,16
BTDXLOZJMXSYRM-RNFRBKRXSA-N,O=C1CC[C@H]2C=CC[C@@H]12,4
BTEAGJORWHEZHI-UHFFFAOYSA-N,c1cc2c3c(c[nH]c3c1)CCCO2,4
BTEOXXGJGWHBQZ-UHFFFAOYSA-N,C=C1N=CC(=O)O1,12
BTERLCQQBYXVIN-UHFFFAOYSA-N,O=c1[nH]nnc2[nH]cnc12,10
BTFWQBKBKZEDLL-UHFFFAOYSA-N,C1=CC2(CCCCC2)Cc2ccccc21,18
BTGCAWPEZGETCJ-UHFFFAOYSA-N,O=C1NCc2nc3ccncc3cc21,88
BTHDCVWRZZVAES-IAEMXTMZSA-N,O=C1OC(=O)[C@@H]2[C@@H]1[C@H]1C=C[C@@]23CCCC[C@@]32CCCO[C@@H]12,2
BTHDCVWRZZVAES-PHOOHRJXSA-N,O=C1OC(=O)[C@@H]2[C@@H]1[C@H]1C=C[C@@]23CCCC[C@]32CCCO[C@H]12,2
BTHDCVWRZZVAES-RMHJXYRFSA-N,O=C1OC(=O)[C@@H]2[C@@H]1[C@H]1C=C[C@@]23CCCC[C@]32CCCO[C@@H]12,2
BTHDCVWRZZVAES-VRCYMCHCSA-N,O=C1OC(=O)[C@@H]2[C@@H]1[C@H]1C=C[C@@]23CCCC[C@@]32CCCO[C@H]12,2
BTHOJZRXYXQUTI-UHFFFAOYSA-N,O=C1C=CC(=O)c2scnc21,4
BTHQGYBGAABIIV-KRWDZBQOSA-N,O=C1C(=C2C=C3c4ccccc4C(=O)[C@H]3CC2)C(=O)c2ccccc21,2
BTHQGYBGAABIIV-QGZVFWFLSA-N,O=C1C(=C2C=C3c4ccccc4C(=O)[C@@H]3CC2)C(=O)c2ccccc21,2
BTHUPYAKEGMDNR-UHFFFAOYSA-N,O=c1cccc2n1CCC2,3097122
BTICMZPQRORTCI-UHFFFAOYSA-N,c1cc2c(c3c1CCCO3)OCCO2,4
BTJGQDDAXRQORK-POYBYMJQSA-N,c1[nH]nc2c1[C@H]1CCC[C@@H](C2)N1,1932
BTJGQDDAXRQORK-UHFFFAOYSA-N,c1n[nH]c2c1C1CCCC(C2)N1,1804
BTJGQDDAXRQORK-XPUUQOCRSA-N,c1[nH]nc2c1[C@@H]1CCC[C@@H](C2)N1,232872
BTKVXNUPTFDVLG-UHFFFAOYSA-N,O=c1cc[nH]c2cc3c(cc12)OCCO3,12928
BTLJYRUXSYAGCM-UHFFFAOYSA-N,O=C1NCCOCCNC(=O)C(=O)NCCOCCNC1=O,2
BTLSLHNLDQCWKS-UHFFFAOYSA-N,O=C1CCCCCCO1,10
BTLTVYGUMREMCE-DEQFUGERSA-N,C1[C@H]2[C@H]3[C@@H]4[C@H]1[C@H]1[C@H]5O[C@H]([C@H]3[C@@H]54)[C@H]21,2
BTLTVYGUMREMCE-DOUFLENJSA-N,C1[C@H]2[C@H]3[C@@H]4[C@H]1[C@H]1[C@H]5O[C@H]([C@@H]3[C@H]54)[C@H]21,2
